C,V,F,NOME CLIENTE,DOMINIO,DNS,DOMINIO PREZZO,DOMINIO COSTO,SCADENZA DOMINIO,HOSTING,HOSTING COSTO,SCADENZA HOSTING,POSTA,POSTA COSTO,SCADENZA POSTA,SMTP,SMTP COSTO,SCADENZA SMTP,ANTI, ANTI COSTO,SCADENZA ANTISPAM,SSL,PEC,PEC COSTO,SCADENZA PEC,COOKIEBOT,COOKIEBOT COSTO,AUT,EYE,MOBILE SYNC,TOTALE,TOT COSTO,TOTALE 2,SERVER,SPAZIO,SPAZIO UTILIZZATO (gen 22),TRAFFICO,CMS,PG SITO,NOTE
,,Fatturato 2022,2NOVE9,https://www.2nove9.com/,Altro,"€0,00",,,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€170,00","€0,00",,001,1 Gb,115 Mb,,SLAMP,,Marta Magni 2nove9
,,Da fatturare,3DMODEL UNITY,,Altro,"€0,00",,,,,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€30,00","€0,00",,002,,200 Mb,,,,
,,,A.D POLISPORTIVA VICTOR RHO - SEZIONE BASKET,,-,,,,,,,,,,,,,,,,,,,,,,"€49,00",,,"€49,00","€0,00",,,,,,,,
,,Da fatturare,3Q,,Register,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,,,,,,,
,,,A.S.D. SALICE,,-,,,,,,,,,,,,,,,,,,,,,,"€98,00",,,"€98,00","€0,00",,,,,,,,
,,,A.S.D. Volley Berzo Inferiore,,-,,,,,,,,,,,,,,,,,,,,,,"€10,00",,,"€10,00","€0,00",,,,,,,,
,,,A.S.D. Volley2laghi,,-,,,,,,,,,,,,,,,,,,,,,,"€10,00",,,"€10,00","€0,00",,,,,,,,
,,Fatturato 2022,AB RE PROJECT,3bware.it,Register,"€50,00","€15,00",08/11/2022,"€0,00",,,"€19,00","€9,80",8186849.        28/06/2022,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€69,00","€24,80","€69,00",-,,,,,,Non ha il sito
,,Fatturato 2022,ABACO,abacosrl.com,Register,"€50,00","€15,00",04/03/2022,"€90,00",,,"€45,00","€23,05",8193880.        02/07/2022,"€15,00","€9,10",07/07/2022,"€0,00",,,"€30,00","€0,00",,,,,,,,"€230,00","€47,15","€280,00",001,500 Mb,70 Mb,,,,
,,Fatturato 2022,ABACO,kubeonline.it,Register,"€50,00","€15,00",18/09/2022,"€0,00",,,,,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€50,00","€15,00",,-,,,,,,Non ha il sito
,,,ACS VOLLEY POVOLARO,,-,,,,,,,,,,,,,,,,,,,,,,"€49,00",,,"€49,00","€0,00",,,,,,,,
,,Fatturato 2022,ADOBER,adober.it,Promo,"€0,00",,,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€170,00","€0,00","€170,00",002,,120 Mb,,,,
,,Fatturato 2022,ALBERGO BELVEDERE,belvederemozzio.it,Register,"€50,00","€15,00",08/06/2022,"€240,00",,,"€19,00","€9,80",8447236.       22/10/2022,"€15,00","€9,10",22/10/2022,"€38,00","€18,90",22/10/2022,"€30,00","€0,00",,,,,,,,"€392,00","€52,80","€392,00",002,2 Gb,400 Mb,,,,
,,Fatturato 2022,ALESSANDRA CATTANEO,passodopopasso.me,Register,"€50,00","€15,00",27/02/2022,"€0,00",,,"€19,00","€9,80",16/04/2022,"€15,00","€9,10",16/04/2022,"€38,00","€18,90",16/04/2022,"€0,00","€0,00",,,,,,,,"€122,00","€52,80","€122,00",-,,,,,,Non ha il sito
,,Fatturato 2022,ALLEGRA DAMI,damijustforkids.com,Altro,"€0,00",,,"€240,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€270,00","€0,00","€240,00",001,2 Gb,100 Mb,,,,PROPOSTA DI RESTYLING
,,Fatturato 2022,ALMAFER,almafer.it,Register,"€50,00","€15,00",27/01/2023,"€0,00",,,"€25,00","€14,65",8376674.        20/09/2022,"€15,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€90,00","€29,65","€90,00",-,,,,,,Non ha il sito
,,Fatturato 2022,AMCHAM,amcham.it,Altro,"€0,00",,,"€340,00",,,"€0,00",,,"€0,00","€9,10",20/09/2022,"€0,00",,,"€30,00","€0,00",,,,,,,,"€370,00","€9,10","€370,00",002,4 Gb,"6,7 Gb",30 Gb / mese,,,PROPOSTA DI HOSTING
,,Fatturato 2022,AMCHAM,eventi.amcham.it,,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,002,,,,,,
,,Fatturato 2022,AMCHAM,infografiche.amcham.it,,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,002,,,,,,
,,Fatturato 2022,AMPLA,ampla.it,Altro,"€0,00",,,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€170,00","€0,00","€170,00",002,,200 Mb,,,,
,,DA VERIFICARE,ANDREA PELLEGRINI,,,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,,,,,,,Dominio da registrare 2022
,,Fatturato 2022,ANDREOTTI IMPIANTI,andreottiimpianti.com,Altro,"€0,00",,,"€540,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€570,00","€0,00","€570,00",001,6 Gb,350 Mb,,,,DNS gestito da cliente
,,,Ancona Team Volley Asd,,,,,,,,,,,,,,,,,,,,,,,,"€49,00",,,"€49,00","€0,00",,,,,,,,
,,Fatturato 2022,AR COMPUTER SERVICE,arcomputerservice.it,Register,"€50,00","€15,00",08/12/2022,"€90,00",,,"€84,00","€30,70","19481090   04/02/2023
8139525.   26/06/2022","€15,00","€9,10",16/10/2022,"€0,00",,,"€0,00","€30,00","€19,00",09/11/2022,,,,,,"€269,00","€73,80",,,,,,,,
,,,ANDREA SNC di Mosele Elisa e Costa Tania,,,,,,,,,,,,,,,,,,,,,,,,,"€1,00",,"€1,00","€0,00",,,,,,,,
,,Fatturato 2022,ARCHITETTO GIUSEPPE SANGALLI,architettosangalli.it,Register,"€50,00","€15,00",03/07/2022,"€90,00",,,"€19,00","€9,80",8434653.        16/10/2022,"€15,00","€9,10",16/10/2022,"€0,00",,,"€30,00","€0,00",,,,,,,,"€204,00","€33,90","€204,00",002,500 Mb,334 Mb,,,,
,,Fatturato 2022,ARCHITETTO GIUSEPPE SANGALLI,dottoressaandreozzi.it,Register,"€50,00","€15,00",22/12/2022,"€90,00",,,"€0,00",,,"€15,00","€9,10",05/11/2022,"€0,00",,,"€30,00","€0,00",,,,,,,,"€185,00","€24,10","€185,00",001,500 Mb,90 Mb,,,,
,,Fatturato 2022,ARIEL,fondazioneariel.it,Register,"€50,00","€15,00",12/01/2023,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€220,00","€15,00","€220,00",001,1 Gb,2 Gb,,SLAMP,,Manca codice SDI | PROPOSTA DI HOSTING
,,Fatturato 2022,ARIENTI,arientigp.it,Register,"€50,00","€15,00",25/08/2022,,,,"€200,00","€73,90","13536301       25/01/2023
8809518       19/03/2022
8809425       19/03/2022
12205363       31/05/2022","€15,00","€9,10",10/03/2022,"€38,00","€18,90",19/03/2022,"€0,00","€118,00","€19,80",7561642.       08/11/2022,,,,,,"€421,00","€136,70","€661,00",-,,,,-,,DA VERIFICARE HOSTING -> non più a nostro carico
,,Fatturato 2022,ARIENTI,arientipreventivi.it,Register,"€50,00","€15,00",14/04/2022,"€140,00",,,,,,,,,,,,,,,,,,,,,"€190,00","€15,00",,JENNA,1 Gb,,,-,,Non è un sito nostro
,,Fatturato 2022,ARIENTI,agrandi.it,Register,"€50,00","€15,00",25/08/2022,,,,,,,,,,,,,,,"€19,80",28/11/2022,,,,,,"€50,00","€34,80",,-,,,,-,,
,,Fatturato 2022,ARRIGONI 4X4,arrigoni4X4.it,Altro,"€0,00",,,"€540,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€570,00","€0,00","€570,00",001,6 Gb,"7,5 Gb",151 Gb,SLAMP,,DNS gestito da cliente | PROPOSTA DI HOSTING
,,Fatturato 2022,ARRIGONI 4X4,arrigoni4x4store.com,Altro,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€0,00","€0,00","€0,00",,,,,,,
,,Fatturato 2022,ARTU,artuassociazione.org,Altro,"€0,00",,,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€170,00","€0,00","€170,00",002,1 Gb,"1,9 Gb",11 Gb / mese,SLAMP,,Manca codice SDI - PROPOSTA DI HOSTING
,,Fatturato 2022,ASINO PROFIT,asinoprofit.it,Register,"€50,00","€42,75",04/10/2022,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€220,00","€42,75",,002,,130 Mb,,SLAMP,,
,,Fatturato 2022,ASSOCIAZIONE AVPS VIMERCATE,avps.it,Register,"€50,00","€15,00",22/02/2022,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€95,00","€19,80",5976434.       02/09/2022,,,,,,"€315,00","€34,80","€315,00",002,1 Gb,"1,5 Gb",6 Gb / mese,SLAMP,,PROPOSTA DI HOSTING
,,Fatturato 2022,BANDA VIMERCATE,bandavimercate.it,Register,"€50,00","€15,00",13/04/2022,"€140,00",,,"€19,00","€9,80",8434829.      16/10/2022,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€239,00","€24,80","€289,00",001,1 Gb,790 Mb,15 Gb / mese,SLAMP,,
,,Fatturato 2022,BANDA VIMERCATE,saleprovavimercate.it,Register,"€50,00","€15,00",10/01/2023,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€50,00","€15,00",,-,,,,,,
,,Fatturato 2022,BC IMPIANTI,bcimpiantielettrici.com,Register,"€50,00","€9,90",22/10/2022,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€220,00","€9,90","€220,00",001,1 Gb,160 Mb,,SLAMP,,
,,DA VERIFICARE,BECOME,become-hub.com,Altro,"€0,00","€6,90",10/02/2023,,"€30,55",10/04/2022,,,,,,,,,,"€30,00",,,,,,,,"€14,25","€30,00","€51,70",,Cpanel,,,,WP,,
,,DA VERIFICARE,BIOSIO 2006 Snc,,Register,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€30,00","€19,00",13/11/2022,,,,,,"€30,00","€19,00",,,,,,,,
,,,ASD LENNO,,,,,,,,,,,,,,,,,,,,,,,,"€49,00",,,"€49,00","€0,00",,,,,,,,
,,,ASD PALLAVOLO TEATINA,,,,,,,,,,,,,,,,,,,,,,,,"€49,00",,,"€49,00","€0,00",,,,,,,,
,,,Asd.P. Nuova Grosseto Barbanella,,,,,,,,,,,,,,,,,,,,,,,,"€98,00",,,"€98,00","€0,00",,,,,,,,
,,,Asd.P. Nuova Grosseto Barbanella,,,,,,,,,,,,,,,,,,,,,,,,"€98,00",,,"€98,00","€0,00",,,,,,,,
,,,Asdo Azzurri,,,,,,,,,,,,,,,,,,,,,,,,"€10,00",,,"€10,00","€0,00",,,,,,,,
,,Fatturato 2022,BITRÉ,bitresport.it,Register,"€50,00","€15,00",29/10/2022,"€90,00",,,"€64,00","€40,35","15899002.         30/03/2022
11172038.        28/10/2022","€15,00","€9,10",29/10/2022,"€38,00","€18,90",29/10/2022,"€30,00","€0,00",,,,,,,"€4,75","€287,00","€88,10","€306,00",002,500 Mb,"1,3 Gb",,,,PROPOSTA DI HOSTING
,,Fatturato 2022,BLLT,bllt.it,Altro,"€0,00",,,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,"€132,00","€86,00",,,,"€302,00","€86,00",,001,1 Gb,220 Mb,,SLAMP,,Tolti 50 € di dominio
,,Fatturato 2022,BODE Srl,bodesrl.it,Register,"€50,00","€15,00",,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€50,00","€15,00",,,,,,,,
,,Fatturato 2022,BRUNA GALBUSERA,barchitects.it,Register,"€50,00","€15,00",11/07/2022,"€140,00",,,"€19,00","€9,80",12374692.         11/04/2022,"€15,00","€9,10",18/09/2022,"€38,00","€18,90",11/07/2022,"€30,00","€0,00",,,,,,,,"€292,00","€52,80","€292,00",002,1 Gb,380 Mb,,SLAMP,,
,,DA VERIFICARE,BRUNO BARBARESCHI,prototipazione.it,Register,"€50,00","€15,00",10/01/2023,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€50,00","€15,00","€50,00",,,,,,,
,,Fatturato 2022,CASCINA BIBLIOTECA ,cascinabiblioteca.it,Siteground,"€0,00",,,"€240,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€270,00","€0,00","€270,00",Siteground,20 Gb,,,WP,,"275,88 €  Siteground"
,,Fatturato 2022,CAZZANIGA RM,cazzanigarm.com,Register,"€50,00","€15,00",06/05/2021,"€140,00",,,"€19,00","€33,10",25/05/2022,"€15,00","€9,10",05/11/2022,"€0,00",,,"€30,00","€0,00",,,,,,,"€14,25","€254,00","€71,45","€254,00",001,1 Gb,270 Mb,,SLAMP,,Manca codice SDI
,,Fatturato 2022,CERERIA PARMA,cereriaparma.it,Register,"€50,00","€15,00",20/10/2022,"€75,00","€30,55",23/09/2022,"€45,00","€23,05",8447647.       22/10/2022,"€15,00","€9,10",22/10/2022,"€38,00","€18,90",22/10/2022,"€0,00","€0,00",,,,,,,,"€223,00","€96,60","€223,00",HOS REGISTER,,,,,,Manca codice SDI
,,Fatturato 2022,CERNUSCO SMS FONDAZIONE,fondazionecernuscosms.it,Register,"€50,00","€15,00",14/10/2022,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€59,00",,,,,,,,"€279,00","€15,00","€254,00",003,1 Gb,500 Mb,,WP,,
,,Fatturato 2022,CGS ABRASIVES,cgsabrasives.it,Register,"€50,00","€15,00",06/09/2022,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€220,00","€15,00","€220,00",001,1 Gb,750 Mb,,SLAMP,,Manca codice SDI
,,Fatturato 2022,CLAUDIO LOMBARDI,legioiedieliane.it,Register,"€50,00",,,"€90,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€170,00","€0,00","€170,00",001,500 Mb,930 Mb,,SLAMP,,PROPOSTA DI HOSTING
,,Fatturato 2022,CLAUDIO LOMBARDI,traslucenza.it,Altro,"€0,00",,,"€90,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€120,00","€0,00","€120,00",001,500 Mb,180 Mb,,SLAMP,,traslucenza.com traslucenza.net
,,Fatturato 2022,CLAUDIO LOMBARDI,ecografia.it,Altro,"€0,00",,,"€90,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€120,00","€0,00","€120,00",001,500 Mb,90 Mb,,SLAMP,,
,,Fatturato 2022,CLIMA ITALIA,clima-italia.com,Register,"€50,00","€15,00",05/01/2023,"€140,00",,,"€45,00","€14,65",8957892.        16/05/2022,"€15,00","€9,10",16/05/2022,"€38,00","€18,90",16/05/2022,"€30,00","€0,00",,,,,,,,"€318,00","€57,65","€318,00",001,1 Gb,200 Mb,,SLAMP,,
,,DA VERIFICARE,"CONSORZIO OPTOCOOP ITALIA SC
",,,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,,,,,,,
,,Fatturato 2022,COSTRUZIONI RIVA,costruzioniriva.it,Altro,"€0,00",,,"€240,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€270,00","€0,00","€270,00",002,,890 Mb,,,,
,,,BLACK BULLS,,,,,,,,,,,,,,,,,,,,,,,,"€49,00",,,"€49,00","€0,00",,,,,,,,
,,DA VERIFICARE,CRAI,craivimercate.it,Register,"€50,00","€15,00",20/03/2022,,,,,,,,,,,,,,,,,,,,,,"€50,00","€15,00",,002,,10 Mb,,,,
,,Fatturato 2022,CRESPI DESIGN,crespidesign.it,Register,"€50,00","€15,00",22/04/2022,"€90,00",,,"€45,00","€14,65",8437095.       17/10/2022,"€15,00","€9,10",17/10/2022,"€0,00",,,"€0,00","€30,00",,,,,,,,"€230,00","€38,75","€200,00",002,,100 Mb,,,,
,,Fatturato 2022,DE PASCALIS FEDERICA,studiodepascalis.eu,Register,"€50,00","€35,00",03/11/2022,"€90,00","€30,55",26/12/2022,"€19,00",,,"€15,00",,,"€38,00","€18,90",24/10/2022,"€30,00","€0,00",,,,,,,,"€242,00","€84,45","€242,00",HOS REGISTER,,,,WP,,
,,,Campagnola don Bosco,,,,,,,,,,,,,,,,,,,,,,,,"€10,00",,,"€10,00","€0,00",,,,,,,,
,,,Campagnola don bosco,,,,,,,,,,,,,,,,,,,,,,,,"€10,00",,,"€10,00","€0,00",,,,,,,,
,,Fatturato 2022,DIGI UNIT,digiunit.it,Altro,"€0,00",,,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€170,00","€0,00","€170,00",002,1 Gb,412 Mb,,SLAMP,,
,,Fatturato 2022,DIGITALWIDE,digitalwide.it,Register,"€50,00","€15,00",06/02/2023,"€140,00",,,"€45,00","€23,05",9027839.        11/06/2022,"€15,00","€9,10",11/06/2022,"€38,00","€18,90",20/05/2022,"€30,00","€0,00","€19,00",09/11/2022,,,,,,"€318,00","€85,05","€318,00",002,?,250 Mb,,SLAMP,,
,,Fatturato 2022,DISCORDIA,discordiaproduction.com,Altro,"€0,00",,,"€90,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€120,00","€0,00","€120,00",002,,212 Mb,,SLAMP,,
,,DA VERIFICARE,DIGITOUCH,,Register,,,,,"€597,00",,,,,,,,,,,,,,,,,,,,"€0,00","€597,00",,,,,,,,
,,Da fatturare,ECOCOOP,,Altro,"€0,00",,,,,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€30,00","€0,00",,002,,215 Mb,,SLAMP,,
,,Da fatturare,ELENA DOSSI,rinchiudetely.it,Altro,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€0,00","€0,00",,003,,,,WP,,
,,Da fatturare,ELETTROCASA,elettrocasasrl.it,Altro,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,002,,125 Mb,,SLAMP,,
,,,CAVOUR 27 sas di Carelli Massimo,,,,,,,,,,,,,,,,,,,,,,,,,"€1,00",,"€1,00","€0,00",,,,,,,,
,,Da fatturare,ELETTRONICA ASTER Spa,elaster.it,Altro,"€0,00",,,"€740,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€740,00","€0,00","€740,00",002,,240 Mb,,,,
,,Fatturato 2022,ELISA VALT,elisavalt.it,Register,"€50,00","€15,00",20/11/2022,"€90,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€140,00","€15,00","€140,00",HOS REGISTER,,,,WP,,
,,Fatturato 2022,FEDRA,fedracollection.com,Register,"€50,00","€15,00",14/05/2022,"€140,00",,,"€19,00","€9,80",11513258.  13/01/2023,"€15,00","€9,10",24/10/2022,"€0,00",,,"€30,00","€0,00",,,,,,,,"€254,00","€33,90","€254,00",002,1 Gb,"2,5 Gb",,SLAMP,,
,,Fatturato 2022,FLEI,flei.it,Register,"€50,00","€15,00",20/06/2022,"€90,00",,,"€45,00","€23,05",8255073.        06/08/2022,"€15,00","€9,10",06/08/2022,"€38,00","€18,90",06/08/2022,"€30,00","€0,00",,,,,,,,"€268,00","€66,05","€268,00",002,,135 Mb,,SLAMP,,Posta in gestione a Marco Scurati  - OFFICE 365
,,Da fatturare,FMC,fmc-onlus.com,Altro,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00","€170,00",003,,730 Mb,,WP,,
,,Da fatturare,FONDAZIONE RESTELLI,fondazionerestelli.it,Altro,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,003,,680 Mb,,WP,,
,,Fatturato 2022,FUMAGALLI MOBILI,fumagallimobili.it,Register,"€50,00","€15,00",19/10/2022,"€90,00",,,"€25,00","€14,65",8455863.       25/10/2022,"€15,00","€9,10",25/10/2022,"€38,00","€18,90",25/10/2022,"€30,00","€30,00","€19,80",10/02/2023,,,,,,"€278,00","€77,45","€278,00",001,500 Mb,1 Gb,,SLAMP,,PROPOSTA DI HOSTING
,,Fatturato 2022,GECAL,gecal.eu,Register,"€50,00","€15,00",12/06/2022,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€50,00","€15,00","€1.340,00",,,,,,,
,,Fatturato 2022,GECAL,gecalspa.com,Register,"€50,00","€15,00",11/10/2022,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€50,00","€15,00",,,,,,,,
,,Fatturato 2022,GECAL,gecalspa.it,Register,"€50,00","€15,00",11/10/2022,"€740,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€790,00","€15,00",,002,8 Gb,6 Gb,,SLAMP,,
,,Fatturato 2022,GECAL,gecalsrl.com,Register,"€50,00","€15,00",26/02/2022,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€50,00","€15,00",,,,,,,,
,,Fatturato 2022,GECAL,gecalsrl.it,Register,"€50,00","€15,00",08/12/2022,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€50,00","€15,00",,,,,,,,
,,Fatturato 2022,GECAL,aviva.gecalspa.it,Register,"€0,00",,,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€140,00","€0,00","€280,00",JENNA,1 Gb,,,SLAMP,,
