C,V,F,NOME CLIENTE,DOMINIO,DNS,DOMINIO PREZZO,DOMINIO COSTO,SCADENZA DOMINIO,HOSTING,HOSTING COSTO,SCADENZA HOSTING,POSTA,POSTA COSTO,SCADENZA POSTA,SMTP,SMTP COSTO,SCADENZA SMTP,ANTI, ANTI COSTO,SCADENZA ANTISPAM,SSL,PEC,PEC COSTO,SCADENZA PEC,COOKIEBOT,COOKIEBOT COSTO,AUT,EYE,MOBILE SYNC,TOTALE,TOT COSTO,TOTALE 2,SERVER,SPAZIO,SPAZIO UTILIZZATO (gen 22),TRAFFICO,CMS,PG SITO,NOTE
,,Fatturato 2022,GECAL,allianz.gecalspa.it,Register,"€0,00",,,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€140,00","€0,00",,JENNA,1 Gb,,,SLAMP,,
,,DA VERIFICARE,GERMANI D'UGO,gdctax.it,Altro,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,,,,,,,
,,,EAT TENNIS SSD a R.L.,,,,,,,,,,,,,,,,,,,,,,,,"€98,00",,,"€98,00","€0,00",,,,,,,,
,,,EAT TENNIS SSD a R.L.,,,,,,,,,,,,,,,,,,,,,,,,"€49,00",,,"€49,00","€0,00",,,,,,,,
,,Fatturato 2022,GUASTALLA,www.guastalla.org,Altro,"€0,00",,,"€240,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€270,00","€0,00","€1.080,00",002,2 Gb,"5,3 Gb",,SLAMP,,PROPOSTA DI HOSTING
,,Fatturato 2022,HONÉRO,honero.eu,Register,"€50,00","€15,00",21/12/2022,"€140,00",,,"€25,00","€48,00",07/01/2023,"€15,00","€9,10",07/01/2023,"€0,00",,,"€30,00","€59,00","€19,80",18/02/2023,,,,,"€19,00","€319,00","€110,90","€289,00",004,1 Gb,70 Mb,,SLAMP,,
,,Fatturato 2022,HOTEL ZUST,hotelzust.com,Altro,"€0,00",,,"€216,00",,,"€15,00","€9,80",,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€261,00","€9,80",,001,2 Gb,"1,2 Gb",,SLAMP,,Da fare a febbraio -> spostamento dominio -> guardare supporto clienti
,,Fatturato 2022,IL GABBIANO LIBRARIA,libreriailgabbiano.it,Altro,"€0,00",,,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€170,00","€0,00","€170,00",002,,300 Mb,,SLAMP,,
,,Fatturato 2022,IMEK,imek.it,Register,"€50,00","€15,00",08/01/2023,"€0,00",,,"€19,00","€9,80",9298640.        15/09/2022,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€69,00","€24,80","€69,00",,,,,,,Solo pagina di cortesia
,,Fatturato 2022,IMMOBILIARE EFFEVI,residenzeilmeridiano.it,Register,"€50,00","€15,00",14/04/2022,"€90,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€170,00","€15,00","€170,00",002,500 Mb,220 Mb,,SLAMP,,
,,Fatturato 2022,IMMOBILIARE EFFEVI,residenzeilparallelo.it,Register,"€50,00","€15,00",01/04/2022,"€90,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€170,00","€15,00","€170,00",002,500 Mb,170 Mb,,SLAMP,,
,,Fatturato 2022,IRAS,irassrl.it,Altro,"€0,00",,,"€240,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€270,00","€0,00","€270,00",001,2 Gb,110 Mb,,SLAMP,,
,,Fatturato 2022,ISOLINO,isolino.com,Register,"€50,00","€15,00",02/06/2022,"€340,00",,,"€45,00","€23,05",8880470.      15/04/2022,"€75,00","€45,60",19/06/2022,"€38,00","€18,90",15/04/2022,"€30,00","€0,00",,,,,,,,"€578,00","€102,55","€695,00",-,,,52 Gb / mese,,,Alias campingisolino.de - isolino.it - isolino.com
,,Fatturato 2022,ISOLINO,isolino.it,Register,"€50,00","€15,00",23/03/2022,"€0,00",,,"€0,00",,,"€0,00",,,,,,,"€0,00",,,,,,,,"€50,00","€15,00",,002,4 Gb,"3,8 Gb",,SLAMP,,PROPOSTA DI HOSTING
,,Fatturato 2022,ISOLINO,campingisolino.de,Register,"€50,00","€15,00",18/10/2022,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,,"€0,00",,,,,,,,"€50,00","€15,00",,-,,,,,,
,,Fatturato 2022,ISOLINO,residenceisolino.com,Register,"€35,00","€15,00",16/11/2022,"€216,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€281,00","€15,00","€501,00",002,2 Gb,"1,6 Gb",,,,
,,Da fatturare,JABSCO,jabsco.it,Altro,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,002,,300 Mb,,SLAMP,,
,,Fatturato 2022,L'ORIZZONTE DI LORENZO,lorizzontedilorenzo.com,Register,"€50,00","€15,00",15/01/2023,"€140,00","€30,55",22/02/2022,"€19,00",,,"€15,00",,,"€38,00",,,"€30,00","€30,00","€19,80",08/01/2023,,,,,,"€322,00","€65,35","€372,00",CPANEL,512 Mb,50 Mb,,WP,,lorizzontedilorenzo.it
,,Fatturato 2022,L'ORIZZONTE DI LORENZO,lorizzontedilorenzo.it,Register,"€50,00","€15,00",14/10/2022,,,,,"€9,80",8444564.        21/10/2022,,"€9,10",21/10/2022,,"€18,90",21/10/2022,,,,,,,,,,"€50,00","€52,80",,,,,,,,HOSTING LINUX CONDIVISO
,,,G.S. OLYMPO ASD,,,,,,,,,,,,,,,,,,,,,,,,"€49,00",,,"€49,00","€0,00",,,,,,,,
,,Fatturato 2022,LA LODOVICA,lalodovica.it,Register,"€50,00","€15,00",10/09/2022,"€140,00",,,"€19,00","€9,80",8444871.       21/10/2022,"€15,00","€9,10",21/10/2022,"€0,00",,,"€30,00","€0,00",,,,,,,,"€254,00","€33,90","€254,00",002,1 Gb,600 Mb,,SLAMP,,Posta in gestione a Marco Scurati  - OFFICE 365
,,Fatturato 2022,LA ROTONDA,larotonda.org,Altro,"€0,00",,,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€170,00","€0,00","€170,00",002,,575 Mb,,,,
,,Fatturato 2022,LA ROTONDA,fiori-occhiello.org,Altro,"€0,00",,,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€170,00","€0,00","€170,00",003,,914 Mb,,,,
,,DA VERIFICARE,LA ROTONDA,old.larotonda.otg,Altro,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,003,,2 Gb,,,,
,,Fatturato 2022,LIDO VILLA OLMO,lidovillaolmo.it,Register,"€50,00","€15,00",02/07/2022,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€220,00","€15,00",,001,1 Gb,250 Mb,,SLAMP,,
,,Fatturato 2022,LIDO VILLA OLMO,lidovillaolmo.com,Register,"€50,00","€15,00",15/05/2022,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€50,00","€15,00",,,,,,,,
,,DA VERIFICARE,LUCA BERNARDELLI,,,,,,,,,,,,,,,,,,,,"€19,00",28/06/2022,,,,,,"€0,00","€19,00",,,,,,,,
,,Fatturato 2022,LUCA BERNARDELLI,personaldreamer.com,Register,"€40,00","€15,00",01/02/2023,"€144,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€18,00","€0,00",,,,,,,,"€202,00","€15,00",,001,2 Gb,"2,6 Gb",,SLAMP,,Alias personaldreamer.it
,,Fatturato 2022,LUCA BERNARDELLI,personaldreamer.it,Register,"€40,00","€15,00",12/01/2023,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€40,00","€15,00",,,,,,,,SCONTO FATTURA DOMINIO | PROPOSTA DI HOSTING
,,Fatturato 2022,LUCA BERNARDELLI,chachacharts.com,Register,"€40,00","€15,00",17/06/2022,"€54,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€18,00","€0,00",,,,,,,,"€112,00","€15,00",,001,500 Mb,590 Mb,,SLAMP,,
,,,GINO ROMANELLI di Romanelli Giuseppe,,,,,,,,,,,,,,,,,,,,,,,,,"€1,00",,"€1,00","€0,00",,,,,,,,
,,,Gruppo Scout Agesci Treviso 6,,,,,,,,,,,,,,,,,,,,,,,,"€49,00",,,"€49,00","€0,00",,,,,,,,
,,Fatturato 2022,LUCA BERNARDELLI,ladolcevitainteriore.it,Register,"€40,00","€15,00",08/04/2022,"€54,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€18,00","€0,00",,,,,,,,"€112,00","€15,00",,HOS REGISTER,500 Mb,,,WP,,SPOSTARE SU 003
,,Fatturato 2022,LUCA BERNARDELLI,lucabernardelli.com,Register,"€40,00","€15,00",14/04/2022,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€18,00","€0,00",,,,,,,,"€58,00","€15,00",,- ,,,,,,
,,DA VERIFICARE,LUCA BERNARDELLI,relaxity-vr.com,Register,"€50,00","€15,00",26/03/2022,,,,,,,,,,,,,,,,,,,,,,"€50,00","€15,00",,?,,,,,,
,,DA VERIFICARE,LUCA BERNARDELLI,ideative.it,Register,,"€15,00",30/03/2022,,,,,"€14,65",8437388.       17/10/2022,,,,,,,,,,,,,,,,"€0,00","€29,65",,-,,,,,,
,,,ICELAB SSD SRL,,,,,,,,,,,,,,,,,,,,,,,,"€49,00",,,"€49,00","€0,00",,,,,,,,
,,Fatturato 2022,LUIGI GIOVANNI MENEGAZZOLI,,Register,"€0,00",,,"€0,00",,,"€29,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€29,00","€0,00",,,,,,,,Solo posta
,,Fatturato 2022,M&GF Project,www.mgfproject.com,Altro,"€0,00",,,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€170,00","€0,00","€170,00",001,1 Gb,330 Mb,,SLAMP,,
,,Da fatturare,M+W  ITALY Srl,mwitaly.net,,"€100,00","€15,00",18/06/2022,"€240,00",,,"€0,00",,,,,,,,,"€30,00",,,,,,,,,"€370,00","€15,00",,,,,,,,domini mw-zanderitalia.it - mwitaly.net
,,Da fatturare,MATTEO PASSONI,booknowtravel.it,Register,"€50,00","€6,90",19/10/2022,"€540,00",,,"€9,00","€13,45",13369956.        22/12/2022,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,"€4,75","€629,00","€25,10","€679,00",002,512 Mb,175 Mb,,SLAMP,,
,,Da fatturare,MATTEO PASSONI,booknow-travel.it,Register,"€50,00","€6,90",16/11/2022,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€50,00","€6,90",,,,,,,,
,,,Kosmos Volley,,,,,,,,,,,,,,,,,,,,,,,,"€49,00",,,"€49,00","€0,00",,,,,,,,
,,Fatturato 2022,MBT PARTNERS,mbtpartners.com,Register,"€50,00","€15,00",06/01/2023,"€90,00",,,"€45,00","€69,85","11/03/2022
8444627.       21/10/2022","€15,00","€9,10",21/10/2022,"€38,00","€18,90",21/10/2022,"€0,00","€70,00",,,,,,,,"€308,00","€112,85","€308,00",002,512 Mb,20 Mb,,HTML,,
,,Fatturato 2022,MEDENT,laboratoriomedent.it,Register,"€50,00","€15,00",24/04/2022,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€190,00","€15,00","€190,00",004,,55 Mb,,SLAMP,,Manca codice SDI
,,,LUPINO VOLLEY ASD,,,,,,,,,,,,,,,,,,,,,,,,"€49,00",,,"€49,00","€0,00",,,,,,,,
,,Da fatturare,MEDIAWIDE Srl,mediawide.it,Register,"€50,00","€15,00",07/12/2022,"€0,00",,,"€19,00","€9,80",17283921.   12/2/2023,"€15,00","€9,10",01/05/2022,"€38,00","€18,90",01/05/2022,"€0,00","€0,00",,,,,,,,"€122,00","€52,80","€270,00",HOS REGISTER,-,,,,,
,,Fatturato 2022,MEDICINA ESSERE,medicinaessere.it,Register,"€50,00","€15,00",25/10/2022,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€220,00","€15,00","€220,00",002,1 Gb,275 Mb,,SLAMP,,
,,Da fatturare,MSOLUTIONS di Scurati Marco,prdcert.com,Register,"€50,00",,,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€190,00","€0,00",,,,,,,,"€380,00","€0,00","€380,00",002,1 Gb,,,SLAMP,,
,,Da fatturare,MSOLUTIONS di Scurati Marco,emmesolutions.it,Altro,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,,,,,WP,,Controllare Hosting
,,Fatturato 2022,NICOLETTA NEGRI,antiginnasticamilano.it,Register,"€50,00",,,"€240,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€290,00","€0,00",,,,,,,,
,,Fatturato 2022,NICOLETTA NEGRI,nicolettanegri.it,Register,"€50,00","€15,00",16/09/2022,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€50,00","€15,00","€248,00",003,,280 Mb,,,,
,,DA VERIFICARE,nonprofitmartesana.it,nonprofitmartesana.it,Register,,"€15,00",24/04/2022,,,,,"€9,80",8444806.       21/10/2022,,,,,,,,,,,,,,,,"€0,00","€24,80",,,,,,,,
,,Da fatturare,ONDEAL S.R.L.,,,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,,,,,,,
,,Da fatturare,ONE CLICK,4deal.shop,Register,"€50,00","€49,05",27/11/2022,,,,,,,,,,,,,,,,,,,,,,"€50,00","€49,05",,,,,,,,dominio - 4deal.shop
,,Da fatturare,ONE CLICK,akaielectronics.it,Register,"€50,00","€15,00",24/03/2022,"€468,00","€33,10",25/02/2022,,"€33,10",13874181.      12/04/2022,,,,,,,,,,,,,,,"€14,25","€518,00","€95,45",,002,,170 Mb,,,,dominio - akaielectronics.itakaielectronics.it
,,,New Volley Adda,,,,,,,,,,,,,,,,,,,,,,,,"€49,00",,,"€49,00","€0,00","€49,00",,,,,,,
,,Fatturato 2022,ORDINE DEGLI INGEGNERI MB,ordineingegneri.mb.it,Register,"€0,00",,,"€240,00",,,"€45,00","€23,05",8460347.       28/10/2022,"€0,00",,,"€38,00","€18,90",28/10/2022,"€30,00","€0,00",,,,,,,,"€353,00","€41,95","€590,00",004,,"1,8 Gb",,SLAMP,,
,,Fatturato 2022,ORDINE DEGLI INGEGNERI MB,ordineingegneri.monzaebrianza.it,Register,"€50,00","€15,00",24/11/2022,,,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€50,00","€15,00",,,,,,,,
,,Da fatturare,ORTOPEDIA BELLUSCO,ortopediabellusco.it,Register,"€50,00","€6,90",18/03/2022,,,,,,,,,,,,,,,,,,,,,,"€50,00","€6,90",,001,?,125 Mb,,,,
,,Da fatturare,OSTERIA LA CARBONELLA - IL RISTORATORE Srl,lacarbonella.it,Register,"€150,00","€15,00",25/11/2022,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€290,00","€15,00","€290,00",HOS REGISTER,,,,WP,,
,,Da fatturare,OSTERIA LA CARBONELLA - IL RISTORATORE Srl,osterialacarbonella.it,Register,,"€15,00",26/06/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€15,00",,,,,,,,
,,Da fatturare,OSTERIA LA CARBONELLA - IL RISTORATORE Srl,ristorantelacarbonella1978.it,Register,"€50,00","€15,00",05/03/2022,,,,,,,,,,,,,,,,,,,,,,"€50,00","€15,00",,,,,,,,redirect lacarbonella.it
,,Fatturato 2022,PANNELLI LIMONTA,pannellilimonta.com ,Register,"€50,00","€15,00",22/06/2022,"€140,00",,,"€19,00","€9,80",10/03/2022,"€15,00","€9,10",19/02/2022,"€38,00","€18,90",19/02/2022,"€30,00","€0,00",,,,,,,,"€292,00","€52,80","€342,00",,1 Gb,340 Mb,,SLAMP,,
,,Fatturato 2022,PANNELLI LIMONTA,pannellilimonta.it,Register,"€50,00","€15,00",24/04/2022,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€50,00","€15,00",,001,1 Gb,,,,,
,,Fatturato 2022,PAOLO FUMAGALLI,paolofumagalli.me,Register,"€50,00","€15,00",24/11/2022,"€90,00",,,"€0,00","€21,11",,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€170,00","€36,11","€170,00",002,500 Mb,160 Mb,,SLAMP,,
,,Fatturato 2022,PEREGO - VIEMME,viemme.com,Register,"€50,00","€15,00",13/05/2022,"€90,00","30,55 + 30,55",29/07/2022,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€170,00","€15,00","€170,00",HOS REGISTER,,,,WP,,
,,DA VERIFICARE,PHOTOSMILESHOP,photosmileshop.com,Altro,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,003,,"1,3 Gb",,WP,,
,,Fatturato 2022,PUBLYTEAM,publyteam.it,Register,"€50,00","€15,00",24/12/2022,"€140,00",,,"€95,00","€82,55",11479605   07/01/2023,"€15,00","€9,10",07/01/2023,"€38,00","€18,90",07/01/2023,"€30,00","€0,00",,,,,,,,"€368,00","€125,55",modificati i servizi,002,1 Gb,370 Mb,,SLAMP,,
,,,OTTICA LEONARDI di Leonardi Giuseppe,,,,,,,,,,,,,,,,,,,,,,,,,"€1,00",,"€1,00","€0,00",,,,,,,,
,,,OTTICA SORCE DI SORCE CALOGERO,,,,,,,,,,,,,,,,,,,,,,,,,"€1,00",,"€1,00","€0,00",,,,,,,,
,,,OTTICA VETTORE di Fabrizio Vettore & C. S.a.S.,,,,,,,,,,,,,,,,,,,,,,,,,"€1,00",,"€1,00","€0,00",,,,,,,,
,,Fatturato 2022,PUNTOCASA NETWORK,puntocasa.net,Altro,"€0,00",,,"€240,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€270,00","€0,00","€270,00",001,1 Gb,"13,7 Gb",,SLAMP,,PROPOSTA HOSTING
,,Fatturato 2022,PUNTOCASA SIPIM,residenzegiotto.it,Register,"€50,00","€6,90",19/10/2022,"€140,00",,,"€0,00","€13,45",12873403.       20/10/2022,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,"€4,75","€220,00","€25,10","€299,00",002,1 Gb,170 Mb,,SLAMP,,
,,Fatturato 2022,PUNTOCASA SIPIM,residenzegiotto.com,Register,"€50,00","€9,90",19/10/2022,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€50,00","€9,90",,,,,,,,
,,Fatturato 2022,PUNTOCASA SIPIM,igiardinidileonardo.it,Register,"€50,00","€15,00",01/11/2022,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€220,00","€15,00","€270,00",002,1 Gb,270 Gb,,SLAMP,,
,,,PUNTO DI VISTA DI MARINO GIUSEPPE,,,,,,,,,,,,,,,,,,,,,,,,,"€1,00",,"€1,00","€0,00",,,,,,,,
,,Fatturato 2022,PUNTOCASA SIPIM,igiardinileonardo.it,Register,"€50,00","€15,00",10/11/2022,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€50,00","€15,00",,,,,,,,
,,Fatturato 2022,PUNTOCASA SIPIM,borgocamuzzago.it,Register,"€50,00","€15,00",08/06/2022,"€90,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€140,00","€15,00","€140,00",,,,,,,
,,Fatturato 2022,RABUFFI,rabuffi.it,Altro,"€0,00",,,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€170,00","€0,00","€170,00",002,1 Gb,225 Mb,,SLAMP,,
,,Fatturato 2022,REBOSIO ANDREA,figurinemania.it,Register,"€50,00","€15,00",21/05/2022,"€140,00",,,"€19,00","€9,80",9297374.        15/09/2022,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€239,00","€24,80","€209,00",001,,500 Mb,,SLAMP,,
,,Fatturato 2022,RECLAME,reclametotale.com,Register,"€50,00","€15,00",12/09/2022,"€140,00",,,"€45,00","€23,05",8444877.        21/10/2022,"€15,00","€9,10",21/10/2022,"€38,00","€18,90",21/10/2022,"€30,00","€0,00",,,,,,,,"€318,00","€66,05","€318,00",001,1 Gb,410 Mb,,SLAMP,,
,,Fatturato 2022,RED,red.softwares.system,Altro,"€0,00",,,"€240,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€270,00","€0,00","€270,00",002,,263 Mb,,SLAMP,,
,,Da fatturare,RETECH LIFE COOP. SOC. ONLUS,retechlife.com,Register,"€50,00","€15,00",28/02/2022,"€90,00","€30,55",19/04/2022,"€45,00","€23,05",8181852.        26/06/2022,"€15,00","€9,10",26/06/2022,"€38,00","€18,90",26/06/2022,"€0,00","€150,00",,,,,,,,"€388,00","€96,60","€134.565,60",JENNA,,,,,,
,,Da fatturare,RETECH LIFE COOP. SOC. ONLUS,retechlife.it,Register,"€50,00","€15,00",04/05/2022,,,,,,,,,,,,,,,,,,,,,,"€50,00","€15,00","€0,00",,,,,,,
,,DA VERIFICARE,residenze-terraviva-oreno.it,residenze-terraviva-oreno.it,Register,,"€15,00",07/04/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€15,00",,001,,100 Mb,,,,
,,Fatturato 2022,RIMAGGIO,villacasiraghi.it,Register,"€40,00","€15,00",31/01/2023,"€112,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€24,00","€0,00",,,,,,,,"€176,00","€15,00",,002,1 Gb,116 Mb,,SLAMP,,
,,Fatturato 2022,RIVA RESTAURI,rivarestauri.it,Register,"€50,00","€15,00",28/06/2022,"€90,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€59,00","€19,80",6144572.        08/11/2022,,,,,,"€229,00","€34,80","€321,00",004,,"2,1 Gb",,SLAMP,,
,,Fatturato 2022,RIVA RESTAURI,rivarestauri.com,Register,"€50,00","€15,00",19/08/2022,,,,"€19,00","€9,80",8456098.       25/10/2022,"€15,00","€9,10",25/10/2022,"€38,00","€18,90",25/10/2022,"€0,00",,,,,,,,,"€122,00","€52,80",,,,,,,,PROPOSTA HOSTING
,,Fatturato 2022,SAEMA IMPIANTI,saemaimpianti.it,Register,"€50,00","€15,00",24/03/2022,"€90,00",,,"€25,00","€15,65",05/07/2022,"€15,00","€9,10",05/07/2022,"€0,00",,,"€30,00","€0,00",,,,,,,,"€210,00","€39,75","€180,00",002,500 Mb,70 Mb,,SLAMP,,
